id_capacidad|habitaciones|camas|id_sub_act|id_categoria|cod_canton
1|6|11|17|23|0115
2|38|60|17|22|0115
3|73|103|20|23|0115
4|69|143|9|21|0101
5|213|353|17|24|0101
6|603|1180|17|23|0101
7|1154|2182|17|22|0101
8|52|122|19|25|0101
9|58|154|19|24|0101
10|289|480|20|26|0101
11|384|677|20|25|0101
12|957|1860|20|24|0101
13|803|1672|20|23|0101
14|14|22|21|25|0101
15|10|20|17|23|0102
16|11|28|19|25|0102
17|59|186|19|24|0102
18|16|36|17|22|0114
19|12|12|17|24|0103
20|67|125|17|22|0103
21|66|140|19|25|0103
22|49|122|19|24|0103
23|22|47|20|23|0103
24|6|24|28|21|0103
25|4|24|28|21|0104
26|12|21|17|22|0110
27|10|24|16|24|0105
28|65|123|19|25|0105
29|36|82|20|23|0105
30|13|19|17|22|0106
31|3|11|9|21|0108
32|27|37|17|24|0108
33|42|76|17|22|0108
34|113|236|19|24|0108
35|5|12|21|25|0108
36|4|8|9|21|0113
37|57|99|17|22|0206
38|17|41|19|24|0206
39|21|32|20|23|0206
40|21|42|17|22|0202
41|33|73|17|22|0203
42|28|56|17|22|0204
43|20|28|17|24|0201
44|173|381|17|22|0201
45|206|452|20|23|0201
46|23|50|20|23|0207
47|39|79|17|22|0205
48|30|52|20|23|0205
49|24|36|17|23|0301
50|27|68|17|22|0301
51|6|7|19|24|0301
52|54|92|20|24|0301
53|113|190|20|23|0301
54|32|49|20|23|0302
55|4|6|9|21|0303
56|13|18|17|22|0303
57|38|89|19|24|0303
58|53|86|20|23|0303
59|29|62|17|23|0305
60|19|30|17|22|0305
61|34|71|19|24|0305
62|16|26|20|23|0305
63|10|19|16|24|0304
64|23|34|17|23|0304
65|172|225|17|22|0304
66|19|33|19|24|0304
67|20|30|20|25|0304
68|44|62|20|24|0304
69|16|22|20|23|0307
70|22|58|19|25|0403
71|8|13|19|25|0404
72|20|34|17|23|0405
73|42|88|20|23|0405
74|10|10|8|21|0406
75|4|12|9|21|0406
76|18|43|17|24|0401
77|150|297|17|23|0401
78|144|343|17|22|0401
79|3|6|9|21|0502
80|20|33|17|23|0502
81|82|165|17|22|0502
82|45|84|19|24|0502
83|70|146|20|25|0502
84|20|28|20|24|0502
85|133|198|20|23|0502
86|4|6|9|21|0501
87|17|29|16|24|0501
88|19|41|17|24|0501
89|156|293|17|23|0501
90|153|253|17|22|0501
91|35|76|19|25|0501
92|99|229|19|24|0501
93|44|79|20|25|0501
94|70|144|20|24|0501
95|346|573|20|23|0501
96|5|58|28|21|0501
97|40|75|17|22|0503
98|7|19|16|24|0504
99|29|67|17|23|0504
100|18|40|17|22|0504
101|63|164|19|24|0504
102|6|6|20|23|0504
103|14|30|17|22|0505
104|42|101|19|25|0505
105|49|142|19|24|0505
106|16|39|20|23|0505
107|18|27|17|22|0506
108|10|35|19|24|0506
109|0|0|8|21|0507
110|18|48|17|24|0507
111|22|49|17|23|0507
112|49|111|17|22|0507
