id_estab|nombre_comercial|direccion|referencia|pet_friendly|puntuacion|id_sub_act|id_categoria_1|id_categoria_2|id_contacto|cod_parroquias
1|FAMA LA|BOLIVAR 12-86 ||||15|17|0|1|010150
2|COLONIAS LAS No.3|AV. ESPAÑA Y AV. HURTADO DE MENDOZA||||30|18|0|2|010150
3|QUINTA ELOISA|JOSE RAFAEL PEÑAHERRERA Y FERNANDO DE ARAGON ||||32|17|0|3|010150
4|PINGUINO|REMIGIO CRESPO 6 87||||15|18|0|4|010150
5|VILLA VERDE RECEPCIONES Y EVENTOS|AV. DE LAS AMERICAS 9-263 Y MANUELA SAENZ ||||32|17|0|5|010150
6|HOTEL CORDERO|BOLIVAR 6-50 BORRERO|JUNTO A LA IGLESIA DE SAN ALFONSO O DIAGONAL AL DISPENSARIO CENTRAL DEL IESS|||20|24|0|6|010104
7|HOTEL PUERTO BALLESTA|CALLE A S/N BOULEVAR DEL MAR|HOTEL PUERTO BALLESTA|SI|4,4|20|23|0|7|080654
8|CONEJOS|AV. ESPAÑA N.- 9-42 Y FRANCISCO PIZARRO||||30|18|0|8|010150
9|EL CARMELO AVENTURA AGROTURISTICA|via principal 1 SIN NOMBRE|''|||19|24|0|9|240152
10|DEPARTAMENTO TOPACIO|DEL ARUPO 1-05 ALISOS|DETRAS DE LA IGLESIA DEL VERGEL, A UNA CUADRA DE LA ESCUELA CARLOS ZAMBRANO|||9|21|2|10|010108
11|SUMAQ KAY|Maquiavelo E6-157 y Av. Siena|PISO: SN. SECTOR: FRENTE AL SCALA SHOPPING|||20|24|0|11|170157
12|CAPPUCHINO| BOLIVAR 10-09 Y PADRE AGUIRRE||||15|16|0|12|010150
13|CAFE TERTULIAS|MARIANO CUEVA 4-91 Y HONORATO VASQUEZ||||7|19|0|13|010150
14|GOLDEN BAMBOO FUSION ORIENTAL|AV. PEDRO MENENDEZ GILBERT 100, PUERTO SANTA ANA ED. RIVER FRONT 2, LOCAL 2||||30|17|0|14|090150
15|STREET DOG'S|ELIA LIUT Y CALLE VIEJA, C.C. MIRAFLORES||||15|18|0|15|010150
16|PEÑA NUESTRA AMERICA|PASACALLE S/N||||32|17|0|16|010150
17|DIANITA|QUITO S/N SIMÓN BOLIVAR||||17|22|0|17|140350
18|PICHINCHA INTERNACIONAL|JUAN MONTALVO 9-78 GRAN COLOMBIA|A MEDIA CUADRA DE LA CLINICA BOLIVAR|||17|22|0|18|010106
19|LEO'S HOT DOG|AV.12 DE ABRIL Y UNIDAD NACIONAL||||15|18|0|19|010150
20|INCA REAL|GENERAL TORRES 8-40 SUCRE|A DOS CUADRAS DE LA IGLESIA EL CENACULO|SI|4,4|20|24|0|20|010104
21|FOS|EL BATAN S/N AV 12 DE ABRIL|a tres cuadras de la universidad de cuenca|||30|1|0|21|010112
22|MARIA NATIVIDAD EVENTOS|CAMINO A RAYOLOMA||||32|17|0|22|010150
23|EL AMANECER||FRENTE A HOSTAL GOLD|||4|6|0|23|150150
24|CENTRO DE RECREACIÓN TURÍSTICA FREDDY AYUY|BARRIO LAS PALMERAS, A DOS CUADRAS DE LA ESCUELA FISCAL||||34|17|0|24|140157
25|DON FRANCISCO EL SABOR ORIGINAL|Imbabura N4-54 Y Mideros|A UNA CUADRA DEL C.C. HNO MIGUEL|||30|17|3|25|170188
26|DOÑA MENESTRA N 2|AV DEL ESTADIO Y JOSE PERALTA||||30|16|0|26|010150
