cod_provincia|nombre|poblacion
01|AZUAY|712127
02|BOLIVAR|183641
03|CAÑAR|225184
04|CARCHI|164524
05|COTOPAXI|409205
06|CHIMBORAZO|458581
07|EL ORO|600659
08|ESMERALDAS|534092
09|GUAYAS|3645483
10|IMBABURA|398244
11|LOJA|438966
12|LOS RIOS|778115
13|MANABI|1369780
14|MORONA SANTIAGO|147940
15|NAPO|103697
16|PASTAZA|83933
17|PICHINCHA|2576287
18|TUNGURAHUA|504583
19|ZAMORA CHINCHIPE|91376
20|GALAPAGOS|25124
21|SUCUMBIOS|176472
22|ORELLANA|136396
23|SANTO DOMINGO DE LOS TSACHILAS|368013
24|SANTA ELENA|308693
