cod_canton|nombre|poblacion|cod_provincias|cod_clima
0101|CUENCA|505585|01|Cfbi
0102|GIRON|12607|01|Cfbi
0103|GUALACEO|42709|01|Cfbi
0104|NABON|15892|01|Cfbi
0105|PAUTE|25494|01|Cfbi
0106|PUCARA|10052|01|Aw
0107|SAN FERNANDO|3993|01|Cfbi
0108|SANTA ISABEL|18393|01|Aw
0109|SIGSIG|26910|01|Cfbi
0110|OÑA|3583|01|Cfbi
0111|CHORDELEG|12577|01|Cfbi
0112|EL PAN|3036|01|Cfbi
0113|SEVILLA DE ORO|5889|01|Af
0114|GUACHAPALA|3409|01|Af
0115|CAMILO PONCE ENRIQUEZ|21998|01|Af
0201|GUARANDA|91877|02|Csb
0202|CHILLANES|17406|02|Csb
0203|CHIMBO|15779|02|Csb
0204|ECHEANDIA|12114|02|Aw
0205|SAN MIGUEL|27244|02|Csb
0206|CALUMA|13129|02|Am
0207|LAS NAVES|6092|02|Aw
0301|AZOGUES|70064|03|Cfb
0302|BIBLIAN|20817|03|Cfb
0303|CAÑAR|59323|03|Cfb
0304|LA TRONCAL|54389|03|Aw
0305|EL TAMBO|9475|03|Cfb
0306|DELEG|6100|03|Cfb
0307|SUSCAL|5016|03|Cfb
0401|TULCAN|86498|04|Cfb
0402|BOLIVAR|14347|04|Aw
0403|ESPEJO|13364|04|Csb
0404|MIRA|12180|04|Cfb
0405|MONTUFAR|30511|04|Csb
0406|SAN PEDRO DE HUACA|7624|04|Csb
0501|LATACUNGA|170489|05|Cfb
0502|LA MANA|42216|05|Aw
0503|PANGUA|21965|05|Cfb
0504|PUJILI|69055|05|Cfb
0505|SALCEDO|58216|05|Cfb
0506|SAQUISILI|25320|05|Cfb
0507|SIGCHOS|21944|05|Cfb
0601|RIOBAMBA|225741|06|Cfb
0602|ALAUSI|44089|06|Cfb
0603|COLTA|44971|06|Cfb
0604|CHAMBO|11885|06|Cfb
0605|CHUNCHI|12686|06|Cfb
0606|GUAMOTE|45153|06|Cfb
0607|GUANO|42851|06|Cfb
0608|PALLATANGA|11544|06|Cfb
0609|PENIPE|6739|06|Cfb
0610|CUMANDA|12922|06|Cfb
0701|MACHALA|245972|07|Aw
0702|ARENILLAS|26844|07|BSh
0703|ATAHUALPA|5833|07|Cfb
0704|BALSAS|6861|07|Aw
0705|CHILLA|2484|07|Aw
0706|EL GUABO|50009|07|Aw
0707|HUAQUILLAS|48285|07|BSh
0708|MARCABELI|5450|07|Aw
0709|PASAJE|72806|07|Aw
0710|PIÑAS|25988|07|Aw
0711|PORTOVELO|12200|07|Aw
0712|SANTA ROSA|69036|07|Aw
0713|ZARUMA|24097|07|Aw
0714|LAS LAJAS|4794|07|BSh
0801|ESMERALDAS|189504|08|Af
0802|ELOY ALFARO|39739|08|Af
0803|MUISNE|28474|08|Am
0804|QUININDE|122570|08|Am
0805|SAN LORENZO|42486|08|Af
0806|ATACAMES|41526|08|Af
0807|RIO VERDE|26869|08|Af
0808|LA CONCORDIA|42924|08|Af
0901|GUAYAQUIL|2350915|09|Aw
0902|ALFREDO BAQUERIZO MORENO (JUJAN)|25179|09|Aw
0903|BALAO|20523|09|Aw
0904|BALZAR|53937|09|Aw
0905|COLIMES|23423|09|Aw
0906|DAULE|120326|09|Aw
0907|DURAN|235769|09|Aw
0908|EL EMPALME|74451|09|Aw
0909|EL TRIUNFO|44778|09|Aw
0910|MILAGRO|166634|09|Aw
