id_capacidad;habitaciones;camas;id_sub_act;id_categoria;cod_canton;canton;cod_prov;provincia
1;6;11;17;23;0115;CAMILO PONCE ENRIQUEZ;01;AZUAY
2;38;60;17;22;0115;CAMILO PONCE ENRIQUEZ;01;AZUAY
3;73;103;20;23;0115;CAMILO PONCE ENRIQUEZ;01;AZUAY
4;69;143;9;21;0101;CUENCA;01;AZUAY
5;213;353;17;24;0101;CUENCA;01;AZUAY
6;603;1180;17;23;0101;CUENCA;01;AZUAY
7;1154;2182;17;22;0101;CUENCA;01;AZUAY
8;52;122;19;25;0101;CUENCA;01;AZUAY
9;58;154;19;24;0101;CUENCA;01;AZUAY
10;289;480;20;26;0101;CUENCA;01;AZUAY
11;384;677;20;25;0101;CUENCA;01;AZUAY
12;957;1860;20;24;0101;CUENCA;01;AZUAY
13;803;1672;20;23;0101;CUENCA;01;AZUAY
14;14;22;21;25;0101;CUENCA;01;AZUAY
15;10;20;17;23;0102;GIRON;01;AZUAY
16;11;28;19;25;0102;GIRON;01;AZUAY
17;59;186;19;24;0102;GIRON;01;AZUAY
18;16;36;17;22;0114;GUACHAPALA;01;AZUAY
19;12;12;17;24;0103;GUALACEO;01;AZUAY
20;67;125;17;22;0103;GUALACEO;01;AZUAY
21;66;140;19;25;0103;GUALACEO;01;AZUAY
22;49;122;19;24;0103;GUALACEO;01;AZUAY
23;22;47;20;23;0103;GUALACEO;01;AZUAY
24;6;24;28;21;0103;GUALACEO;01;AZUAY
25;4;24;28;21;0104;NABON;01;AZUAY
26;12;21;17;22;0110;OÑA;01;AZUAY
27;10;24;16;24;0105;PAUTE;01;AZUAY
28;65;123;19;25;0105;PAUTE;01;AZUAY
29;36;82;20;23;0105;PAUTE;01;AZUAY
30;13;19;17;22;0106;PUCARA;01;AZUAY
31;3;11;9;21;0108;SANTA ISABEL;01;AZUAY
32;27;37;17;24;0108;SANTA ISABEL;01;AZUAY
33;42;76;17;22;0108;SANTA ISABEL;01;AZUAY
34;113;236;19;24;0108;SANTA ISABEL;01;AZUAY
35;5;12;21;25;0108;SANTA ISABEL;01;AZUAY
36;4;8;9;21;0113;SEVILLA DE ORO;01;AZUAY
37;57;99;17;22;0206;CALUMA;02;BOLIVAR
38;17;41;19;24;0206;CALUMA;02;BOLIVAR
39;21;32;20;23;0206;CALUMA;02;BOLIVAR
40;21;42;17;22;0202;CHILLANES;02;BOLIVAR
41;33;73;17;22;0203;CHIMBO;02;BOLIVAR
42;28;56;17;22;0204;ECHEANDIA;02;BOLIVAR
43;20;28;17;24;0201;GUARANDA;02;BOLIVAR
44;173;381;17;22;0201;GUARANDA;02;BOLIVAR
45;206;452;20;23;0201;GUARANDA;02;BOLIVAR
46;23;50;20;23;0207;LAS NAVES;02;BOLIVAR
47;39;79;17;22;0205;SAN MIGUEL;02;BOLIVAR
48;30;52;20;23;0205;SAN MIGUEL;02;BOLIVAR
49;24;36;17;23;0301;AZOGUES;03;CAÑAR
50;27;68;17;22;0301;AZOGUES;03;CAÑAR
51;6;7;19;24;0301;AZOGUES;03;CAÑAR
52;54;92;20;24;0301;AZOGUES;03;CAÑAR
53;113;190;20;23;0301;AZOGUES;03;CAÑAR
54;32;49;20;23;0302;BIBLIAN;03;CAÑAR
55;4;6;9;21;0303;CAÑAR;03;CAÑAR
56;13;18;17;22;0303;CAÑAR;03;CAÑAR
57;38;89;19;24;0303;CAÑAR;03;CAÑAR
58;53;86;20;23;0303;CAÑAR;03;CAÑAR
59;29;62;17;23;0305;EL TAMBO;03;CAÑAR
60;19;30;17;22;0305;EL TAMBO;03;CAÑAR
61;34;71;19;24;0305;EL TAMBO;03;CAÑAR
62;16;26;20;23;0305;EL TAMBO;03;CAÑAR
63;10;19;16;24;0304;LA TRONCAL;03;CAÑAR
64;23;34;17;23;0304;LA TRONCAL;03;CAÑAR
65;172;225;17;22;0304;LA TRONCAL;03;CAÑAR
66;19;33;19;24;0304;LA TRONCAL;03;CAÑAR
67;20;30;20;25;0304;LA TRONCAL;03;CAÑAR
68;44;62;20;24;0304;LA TRONCAL;03;CAÑAR
69;16;22;20;23;0307;SUSCAL;03;CAÑAR
70;22;58;19;25;0403;ESPEJO;04;CARCHI
71;8;13;19;25;0404;MIRA;04;CARCHI
72;20;34;17;23;0405;MONTUFAR;04;CARCHI
73;42;88;20;23;0405;MONTUFAR;04;CARCHI
74;10;10;8;21;0406;SAN PEDRO DE HUACA;04;CARCHI
75;4;12;9;21;0406;SAN PEDRO DE HUACA;04;CARCHI
76;18;43;17;24;0401;TULCAN;04;CARCHI
77;150;297;17;23;0401;TULCAN;04;CARCHI
78;144;343;17;22;0401;TULCAN;04;CARCHI
79;3;6;9;21;0502;LA MANA;05;COTOPAXI
80;20;33;17;23;0502;LA MANA;05;COTOPAXI
81;82;165;17;22;0502;LA MANA;05;COTOPAXI
82;45;84;19;24;0502;LA MANA;05;COTOPAXI
83;70;146;20;25;0502;LA MANA;05;COTOPAXI
84;20;28;20;24;0502;LA MANA;05;COTOPAXI
85;133;198;20;23;0502;LA MANA;05;COTOPAXI
86;4;6;9;21;0501;LATACUNGA;05;COTOPAXI
87;17;29;16;24;0501;LATACUNGA;05;COTOPAXI
88;19;41;17;24;0501;LATACUNGA;05;COTOPAXI
89;156;293;17;23;0501;LATACUNGA;05;COTOPAXI
90;153;253;17;22;0501;LATACUNGA;05;COTOPAXI
91;35;76;19;25;0501;LATACUNGA;05;COTOPAXI
92;99;229;19;24;0501;LATACUNGA;05;COTOPAXI
93;44;79;20;25;0501;LATACUNGA;05;COTOPAXI
94;70;144;20;24;0501;LATACUNGA;05;COTOPAXI
95;346;573;20;23;0501;LATACUNGA;05;COTOPAXI
96;5;58;28;21;0501;LATACUNGA;05;COTOPAXI
97;40;75;17;22;0503;PANGUA;05;COTOPAXI
98;7;19;16;24;0504;PUJILI;05;COTOPAXI
99;29;67;17;23;0504;PUJILI;05;COTOPAXI
100;18;40;17;22;0504;PUJILI;05;COTOPAXI
101;63;164;19;24;0504;PUJILI;05;COTOPAXI
102;6;6;20;23;0504;PUJILI;05;COTOPAXI
103;14;30;17;22;0505;SALCEDO;05;COTOPAXI
104;42;101;19;25;0505;SALCEDO;05;COTOPAXI
105;49;142;19;24;0505;SALCEDO;05;COTOPAXI
106;16;39;20;23;0505;SALCEDO;05;COTOPAXI
107;18;27;17;22;0506;SAQUISILI;05;COTOPAXI
108;10;35;19;24;0506;SAQUISILI;05;COTOPAXI
109;0;0;8;21;0507;SIGCHOS;05;COTOPAXI
110;18;48;17;24;0507;SIGCHOS;05;COTOPAXI
111;22;49;17;23;0507;SIGCHOS;05;COTOPAXI
112;49;111;17;22;0507;SIGCHOS;05;COTOPAXI
113;18;38;19;26;0507;SIGCHOS;05;COTOPAXI
114;38;101;19;24;0507;SIGCHOS;05;COTOPAXI
115;56;113;17;23;0602;ALAUSI;06;CHIMBORAZO
116;62;148;17;22;0602;ALAUSI;06;CHIMBORAZO
117;56;155;19;24;0602;ALAUSI;06;CHIMBORAZO
118;21;41;20;24;0602;ALAUSI;06;CHIMBORAZO
119;18;53;21;25;0602;ALAUSI;06;CHIMBORAZO
120;23;53;20;23;0605;CHUNCHI;06;CHIMBORAZO
121;20;47;17;22;0603;COLTA;06;CHIMBORAZO
122;19;49;8;21;0610;CUMANDA;06;CHIMBORAZO
123;16;34;17;22;0610;CUMANDA;06;CHIMBORAZO
124;39;140;19;24;0610;CUMANDA;06;CHIMBORAZO
125;24;40;17;23;0606;GUAMOTE;06;CHIMBORAZO
126;3;4;9;21;0607;GUANO;06;CHIMBORAZO
127;33;53;19;26;0607;GUANO;06;CHIMBORAZO
